Date,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
27.04.2022 14:00,3.0,674.2,766.4,-0.9,84,从东北偏东方向吹来的风,2,,10,,雨或毛毛雨夹雪较弱 ,雨,小雨,0.7,,,,2500或更高，或无云。,,,21.0,0.6,4,12,,,,
27.04.2022 11:00,2.0,675.1,767.6,0.1,90,从东方吹来的风,2,,11,,雨或毛毛雨夹雪较弱 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.7,15.3,,,2500或更高，或无云。,,,13.0,0.5,3,12,,,,
27.04.2022 08:00,3.1,675.0,766.9,0.9,78,从东方吹来的风,3,,11,,小雨夹雪或小冰粒 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,1.8,15.3,,,2500或更高，或无云。,,,29.0,-0.4,0.4,12,,,,
27.04.2022 05:00,4.8,674.1,764.8,0.6,61,从东方吹来的风,4,,11,,间歇性雨，不冻，在观测时较弱 ,,,4.8,15.3,,,2500或更高，或无云。,,,14.0,-2.1,无降水,12,,,,
27.04.2022 02:00,7.1,673.5,763.7,,15,从东北偏东方向吹来的风,6,,12,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.0,15.3,,,2500或更高，或无云。,,,30.0,-17.8,,,,,,
26.04.2022 20:00,9.8,672.7,763.6,1.1,10,从东北方吹来的风,2,,13,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.0,20.5,,,2500或更高，或无云。,,,30.0,-20.4,,,,,,
26.04.2022 17:00,14.6,671.6,761.8,-0.8,7,从北方吹来的风,5,,13,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.0,,,,2500或更高，或无云。,,,30.0,-20.9,,,,,,
26.04.2022 14:00,14.3,672.4,762.0,-1.1,9,从北方吹来的风,6,,17,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.0,,,,2500或更高，或无云。,,,30.0,-18.2,24,12,,,,
26.04.2022 11:00,11.3,673.5,763.0,0.6,12,从西北偏北方向吹来的风,7,,17,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.0,,,,2500或更高，或无云。,,,30.0,-17.1,无降水,12,,,,
26.04.2022 08:00,7.4,672.9,761.9,1.4,15,从西北偏北方向吹来的风,6,,17,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.0,,,,2500或更高，或无云。,,,19.0,-17.6,无降水,12,,,,
26.04.2022 05:00,5.5,671.5,759.3,1.9,18,从西北偏北方向吹来的风,4,,17,,云量发展情况没有进行观测或无法观测。 ,,,3.4,30.2,,,2500或更高，或无云。,,,10.0,-17.0,无降水,12,,,,
26.04.2022 02:00,9.8,669.6,756.4,,22,从西北偏北方向吹来的风,9,,17,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,30.2,,,2500或更高，或无云。,,,13.0,-10.9,无降水,12,,,,
25.04.2022 20:00,20.6,664.0,750.3,1.8,20,从北方吹来的风,9,,16,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,30.2,,,2500或更高，或无云。,,,5.0,-3.1,无降水,12,,,,
25.04.2022 17:00,29.1,662.2,748.9,-1.2,8,从西方吹来的风,6,,12,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,30.2,,,2500或更高，或无云。,,,25.0,-8.5,无降水,12,,,,
25.04.2022 14:00,29.5,663.4,749.7,-2.1,7,从西方吹来的风,6,,10,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,3.4,30.0,,,2500或更高，或无云。,,,26.0,-9.9,无降水,12,,,,
25.04.2022 11:00,25.0,665.5,752.8,-1.0,12,从西南偏南方向吹来的风,4,,8,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,3.4,27.7,,,2500或更高，或无云。,,,15.0,-6.4,无降水,12,,,,
25.04.2022 08:00,17.1,666.5,752.9,0.1,21,从东南方吹来的风,1,,4,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,3.4,27.7,,,2500或更高，或无云。,,,11.0,-5.4,无降水,12,,,,
25.04.2022 05:00,4.4,666.4,754.0,0.4,52,从西北方吹来的风,1,,9,,云量发展情况没有进行观测或无法观测。 ,,,3.7,27.7,,,2500或更高，或无云。,,,14.0,-4.6,无降水,12,,,,
25.04.2022 02:00,8.4,666.0,753.0,,37,从西方吹来的风,1,,14,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,6.2,27.7,,,2500或更高，或无云。,,,14.0,-5.4,无降水,12,,,,
24.04.2022 20:00,22.3,665.5,752.2,1.0,13,从西方吹来的风,3,,14,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,27.7,,,2500或更高，或无云。,,,21.0,-7.4,无降水,12,,,,
24.04.2022 17:00,26.8,664.5,751.6,-0.8,8,从西方吹来的风,5,,14,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,6.2,27.7,,,2500或更高，或无云。,,,23.0,-10.2,无降水,12,,,,
24.04.2022 14:00,26.7,665.3,751.5,-1.7,9,从西方吹来的风,6,,12,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,6.2,28.8,,,2500或更高，或无云。,,,16.0,-8.8,无降水,12,,,,
24.04.2022 11:00,21.7,667.0,753.5,-0.1,15,从西南方吹来的风,3,,8,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,6.2,28.8,,,2500或更高，或无云。,,,13.0,-6.0,无降水,12,,,,
24.04.2022 08:00,14.7,667.1,754.3,0.5,27,从西北偏西方向吹来的风,2,,6,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,6.2,,,,2500或更高，或无云。,,,14.0,-4.1,无降水,12,,,,
24.04.2022 05:00,6.4,666.6,753.9,0.3,41,从北方吹来的风,1,,14,,云量发展情况没有进行观测或无法观测。 ,,,6.4,28.8,,,2500或更高，或无云。,,,13.0,-5.9,无降水,12,,,,
